stop_id,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
ES:Euskotren:Quay:2671_Plataforma_Q2:,,Unibertsitatea,,"C/ Martinez Aragón, 13 / Vitoria-Gasteiz",42.837364,-2.67243,ES:Euskotren:Zone:70:,,0,ES:Euskotren:StopPlace:2671:,,0,ES:Euskotren:Level:Level:1:,
ES:Euskotren:Quay:2673_Plataforma_Q1:,,Abusu,,,43.245503,-2.915783,ES:Euskotren:Zone:20:,,0,ES:Euskotren:StopPlace:2673:,,0,ES:Euskotren:Level:Level:1:,
ES:Euskotren:Quay:2673_Plataforma_Q2:,,Abusu,,,43.245503,-2.915783,ES:Euskotren:Zone:20:,,0,ES:Euskotren:StopPlace:2673:,,0,ES:Euskotren:Level:Level:1:,
ES:Euskotren:Quay:2674_Plataforma_Q1:,,Bolueta,,"48004 Bilbao, Vizcaya / Bilbao",43.247252,-2.904919,ES:Euskotren:Zone:20:,,0,ES:Euskotren:StopPlace:2674:,,0,ES:Euskotren:Level:Level:1:,
ES:Euskotren:Quay:2674_Plataforma_Q2:,,Bolueta,,"48004 Bilbao, Vizcaya / Bilbao",43.247252,-2.904919,ES:Euskotren:Zone:20:,,0,ES:Euskotren:StopPlace:2674:,,0,ES:Euskotren:Level:Level:1:,
ES:Euskotren:Quay:2675_Plataforma_Q1:,,Salburua,,"Avenida 8 de Marzo, 17 / Vitoria-Gasteiz",42.854489,-2.651874,ES:Euskotren:Zone:70:,,0,ES:Euskotren:StopPlace:2675:,,0,ES:Euskotren:Level:Level:1:,
ES:Euskotren:Quay:2675_Plataforma_Q2:,,Salburua,,"Avenida 8 de Marzo, 17 / Vitoria-Gasteiz",42.854489,-2.651874,ES:Euskotren:Zone:70:,,0,ES:Euskotren:StopPlace:2675:,,0,ES:Euskotren:Level:Level:1:,
ES:Euskotren:Quay:2676_Plataforma_Q1:,,La Unión,,"Av. Salburua, 8 / Vitoria-Gasteiz",42.849156,-2.650589,ES:Euskotren:Zone:70:,,0,ES:Euskotren:StopPlace:2676:,,0,ES:Euskotren:Level:Level:1:,
ES:Euskotren:Quay:2676_Plataforma_Q2:,,La Unión,,"Av. Salburua, 8 / Vitoria-Gasteiz",42.849156,-2.650589,ES:Euskotren:Zone:70:,,0,ES:Euskotren:StopPlace:2676:,,0,ES:Euskotren:Level:Level:1:,
ES:Euskotren:Quay:2677_Plataforma_Q1:,,Santa Luzia,,"Calle Florida, 38 / Vitoria-Gasteiz",42.841606,-2.658713,ES:Euskotren:Zone:70:,,0,ES:Euskotren:StopPlace:2677:,,0,ES:Euskotren:Level:Level:1:,
ES:Euskotren:Quay:2677_Plataforma_Q2:,,Santa Luzia,,"Calle Florida, 38 / Vitoria-Gasteiz",42.841606,-2.658713,ES:Euskotren:Zone:70:,,0,ES:Euskotren:StopPlace:2677:,,0,ES:Euskotren:Level:Level:1:,
